Ticker;Date;NaN;Close;Price;Open;Last;MA 10;Ownership;Buy;Sell;Cashflow
Mofid.Gold.ETF;04/07/2022;20220704;37678.00;37678;39008.00;37992.00;37964,09091;yes;no;yes;37.678.000
Mofid.Gold.ETF;05/07/2022;20220705;38264.00;38264;37678.00;38310.00;37864,18182;no;yes;no;-38.264.020
Mofid.Gold.ETF;06/07/2022;20220706;37999.00;37999;38264.00;38049.00;37737,36364;yes;no;no;-38.264.020
Mofid.Gold.ETF;09/07/2022;20220709;37722.00;37722;37999.00;37740.00;37540,90909;yes;no;no;-38.264.020
Mofid.Gold.ETF;11/07/2022;20220711;38066.00;38066;37722.00;38077.00;37486,18182;yes;no;no;-38.264.020
Mofid.Gold.ETF;12/07/2022;20220712;37818.00;37818;38066.00;37842.00;37565,63636;yes;no;no;-38.264.020
Mofid.Gold.ETF;13/07/2022;20220713;37484.00;37484;37818.00;37635.00;37732,36364;yes;no;yes;37.484.000
Mofid.Gold.ETF;16/07/2022;20220716;37860.00;37860;37484.00;38000.00;37924,18182;no;no;no;37.484.000
Mofid.Gold.ETF;17/07/2022;20220717;37444.00;37444;37860.00;37480.00;38028,81818;no;no;no;37.484.000
Mofid.Gold.ETF;19/07/2022;20220719;37291.00;37291;37444.00;37203.00;37875,81818;no;no;no;37.484.000
Mofid.Gold.ETF;20/07/2022;20220720;37266.00;37266;37291.00;37380.00;37717,45455;no;no;no;37.484.000
Mofid.Gold.ETF;23/07/2022;20220723;37662.00;37662;37266.00;37738.00;37716;no;no;no;37.484.000
Mofid.Gold.ETF;24/07/2022;20220724;37616.00;37616;37662.00;37699.00;37657,09091;no;no;no;37.484.000
Mofid.Gold.ETF;25/07/2022;20220725;37380.00;37380;37616.00;37350.00;37600,81818;no;no;no;37.484.000
Mofid.Gold.ETF;26/07/2022;20220726;37466.00;37466;37380.00;37500.00;37577,54545;no;no;no;37.484.000
Mofid.Gold.ETF;27/07/2022;20220727;37414.00;37414;37466.00;37380.00;37518,27273;no;no;no;37.484.000
Mofid.Gold.ETF;30/07/2022;20220730;37672.00;37672;37414.00;37683.00;37505;no;yes;no;-37.672.020
Mofid.Gold.ETF;31/07/2022;20220731;37638.00;37638;37672.00;37680.00;37519;yes;no;no;-37.672.020
Mofid.Gold.ETF;01/08/2022;20220801;37525.00;37525;37638.00;37597.00;37488,54545;yes;no;no;-37.672.020
Mofid.Gold.ETF;02/08/2022;20220802;37536.00;37536;37525.00;37555.00;37496,90909;yes;no;no;-37.672.020
Mofid.Gold.ETF;03/08/2022;20220803;37407.00;37407;37536.00;37434.00;37507,45455;yes;no;yes;37.407.000
Mofid.Gold.ETF;06/08/2022;20220806;37109.00;37109;37407.00;37121.00;37493,18182;no;no;no;37.407.000
Mofid.Gold.ETF;09/08/2022;20220809;37332.00;37332;37109.00;37197.00;37463,18182;no;no;no;37.407.000
Mofid.Gold.ETF;10/08/2022;20220810;36942.00;36942;37332.00;37000.00;37401,90909;no;no;no;37.407.000
Mofid.Gold.ETF;13/08/2022;20220813;36010.00;36010;36942.00;35734.00;37277,36364;no;no;no;37.407.000
Mofid.Gold.ETF;14/08/2022;20220814;35183.00;35183;36010.00;35390.00;37069,81818;no;no;no;37.407.000
Mofid.Gold.ETF;15/08/2022;20220815;34554.00;34554;35183.00;34411.00;36809,81818;no;no;no;37.407.000
Mofid.Gold.ETF;16/08/2022;20220816;34555.00;34555;34554.00;34610.00;36526,45455;no;no;no;37.407.000
Mofid.Gold.ETF;17/08/2022;20220817;33687.00;33687;34555.00;33641.00;36167,27273;no;no;no;37.407.000
Mofid.Gold.ETF;20/08/2022;20220820;32712.00;32712;33687.00;32710.00;35729,72727;no;no;no;37.407.000
Mofid.Gold.ETF;21/08/2022;20220821;32811.00;32811;32712.00;32744.00;35300,18182;no;no;no;37.407.000
Mofid.Gold.ETF;22/08/2022;20220822;34243.00;34243;32811.00;34421.00;35012,54545;no;no;no;37.407.000
Mofid.Gold.ETF;23/08/2022;20220823;33877.00;33877;34243.00;33670.00;34718,72727;no;no;no;37.407.000
Mofid.Gold.ETF;24/08/2022;20220824;33141.00;33141;33877.00;33199.00;34337,72727;no;no;no;37.407.000
Mofid.Gold.ETF;27/08/2022;20220827;34396.00;34396;33141.00;34271.00;34106,27273;no;yes;no;-34.396.020
Mofid.Gold.ETF;28/08/2022;20220828;33963.00;33963;34396.00;34110.00;33920,18182;yes;no;no;-34.396.020
Mofid.Gold.ETF;29/08/2022;20220829;33856.00;33856;33963.00;33840.00;33799,54545;yes;no;no;-34.396.020
Mofid.Gold.ETF;30/08/2022;20220830;33872.00;33872;33856.00;33944.00;33737,54545;yes;no;no;-34.396.020
Mofid.Gold.ETF;31/08/2022;20220831;34188.00;34188;33872.00;34122.00;33704,18182;yes;no;no;-34.396.020
Mofid.Gold.ETF;03/09/2022;20220903;34659.00;34659;34188.00;34478.00;33792,54545;yes;no;no;-34.396.020
Mofid.Gold.ETF;04/09/2022;20220904;34811.00;34811;34659.00;34798.00;33983,36364;yes;no;no;-34.396.020
Mofid.Gold.ETF;05/09/2022;20220905;34475.00;34475;34811.00;34341.00;34134,63636;yes;no;no;-34.396.020
Mofid.Gold.ETF;06/09/2022;20220906;34527.00;34527;34475.00;34466.00;34160,45455;yes;no;no;-34.396.020
Mofid.Gold.ETF;07/09/2022;20220907;34150.00;34150;34527.00;34440.00;34185,27273;yes;no;yes;34.150.000
Mofid.Gold.ETF;10/09/2022;20220910;34680.00;34680;34150.00;34570.00;34325,18182;no;yes;no;-34.680.020
Mofid.Gold.ETF;11/09/2022;20220911;34944.00;34944;34680.00;34973.00;34375;yes;no;no;-34.680.020
Mofid.Gold.ETF;12/09/2022;20220912;35704.00;35704;34944.00;35880.00;34533,27273;yes;no;no;-34.680.020
Mofid.Gold.ETF;13/09/2022;20220913;36580.00;36580;35704.00;36770.00;34780,90909;yes;no;no;-34.680.020
Mofid.Gold.ETF;14/09/2022;20220914;36081.00;36081;36580.00;35989.00;34981,72727;yes;no;no;-34.680.020
Mofid.Gold.ETF;18/09/2022;20220918;36172.00;36172;36081.00;36220.00;35162,09091;yes;no;no;-34.680.020
Mofid.Gold.ETF;19/09/2022;20220919;35543.00;35543;36172.00;35504.00;35242,45455;yes;no;no;-34.680.020
Mofid.Gold.ETF;20/09/2022;20220920;35670.00;35670;35543.00;35530.00;35320,54545;yes;no;no;-34.680.020
Mofid.Gold.ETF;21/09/2022;20220921;35384.00;35384;35670.00;35650.00;35403,18182;yes;no;yes;35.384.000
Mofid.Gold.ETF;24/09/2022;20220924;35717.00;35717;35384.00;35787.00;35511,36364;no;yes;no;-35.717.020
Mofid.Gold.ETF;26/09/2022;20220926;35891.00;35891;35717.00;35850.00;35669,63636;yes;no;no;-35.717.020
Mofid.Gold.ETF;28/09/2022;20220928;35702.00;35702;35891.00;35710.00;35762,54545;yes;no;yes;35.702.000
Mofid.Gold.ETF;01/10/2022;20221001;37392.00;37392;35702.00;37750.00;35985,09091;no;yes;no;-37.392.020
Mofid.Gold.ETF;02/10/2022;20221002;37870.00;37870;37392.00;37918.00;36182;yes;no;no;-37.392.020
Mofid.Gold.ETF;03/10/2022;20221003;38144.00;38144;37870.00;38210.00;36324,18182;yes;no;no;-37.392.020
Mofid.Gold.ETF;04/10/2022;20221004;38014.00;38014;38144.00;37850.00;36499,90909;yes;no;no;-37.392.020
Mofid.Gold.ETF;08/10/2022;20221008;37246.00;37246;38014.00;37339.00;36597,54545;yes;no;no;-37.392.020
Mofid.Gold.ETF;09/10/2022;20221009;36978.00;36978;37246.00;37300.00;36728;yes;no;no;-37.392.020
Mofid.Gold.ETF;10/10/2022;20221010;37026.00;37026;36978.00;37180.00;36851,27273;yes;no;no;-37.392.020
Mofid.Gold.ETF;11/10/2022;20221011;37520.00;37520;37026.00;37527.00;37045,45455;yes;no;no;-37.392.020
Mofid.Gold.ETF;12/10/2022;20221012;37550.00;37550;37520.00;37530.00;37212,09091;yes;no;no;-37.392.020
Mofid.Gold.ETF;15/10/2022;20221015;37444.00;37444;37550.00;37411.00;37353,27273;yes;no;no;-37.392.020
Mofid.Gold.ETF;16/10/2022;20221016;37850.00;37850;37444.00;37870.00;37548,54545;yes;no;no;-37.392.020
Mofid.Gold.ETF;17/10/2022;20221017;37613.00;37613;37850.00;37580.00;37568,63636;yes;no;no;-37.392.020
Mofid.Gold.ETF;18/10/2022;20221018;37258.00;37258;37613.00;37269.00;37513;yes;no;yes;37.258.000
Mofid.Gold.ETF;19/10/2022;20221019;37202.00;37202;37258.00;37170.00;37427,36364;no;no;no;37.258.000
Mofid.Gold.ETF;22/10/2022;20221022;37424.00;37424;37202.00;37318.00;37373,72727;no;yes;no;-37.424.020
Mofid.Gold.ETF;23/10/2022;20221023;37298.00;37298;37424.00;37310.00;37378,45455;yes;no;yes;37.298.000
Mofid.Gold.ETF;24/10/2022;20221024;36997.00;36997;37298.00;37000.00;37380,18182;no;no;no;37.298.000
Mofid.Gold.ETF;25/10/2022;20221025;37167.00;37167;36997.00;37135.00;37393;no;no;no;37.298.000
Mofid.Gold.ETF;26/10/2022;20221026;37389.00;37389;37167.00;37400.00;37381,09091;no;yes;no;-37.389.020
Mofid.Gold.ETF;29/10/2022;20221029;37587.00;37587;37389.00;37586.00;37384,45455;yes;no;no;-37.389.020
Mofid.Gold.ETF;30/10/2022;20221030;37625.00;37625;37587.00;37630.00;37400,90909;yes;no;no;-37.389.020
Mofid.Gold.ETF;31/10/2022;20221031;38131.00;38131;37625.00;38200.00;37426,45455;yes;no;no;-37.389.020
Mofid.Gold.ETF;01/11/2022;20221101;38879.00;38879;38131.00;39050.00;37541,54545;yes;no;no;-37.389.020
Mofid.Gold.ETF;02/11/2022;20221102;39959.00;39959;38879.00;39994.00;37787,09091;yes;no;no;-37.389.020
Mofid.Gold.ETF;05/11/2022;20221105;40613.00;40613;39959.00;40410.00;38097,18182;yes;no;no;-37.389.020
Mofid.Gold.ETF;06/11/2022;20221106;39663.00;39663;40613.00;39604.00;38300,72727;yes;no;no;-37.389.020
Mofid.Gold.ETF;07/11/2022;20221107;40221.00;40221;39663.00;40220.00;38566,45455;yes;no;no;-37.389.020
Mofid.Gold.ETF;08/11/2022;20221108;39280.00;39280;40221.00;39181.00;38774;yes;no;no;-37.389.020
Mofid.Gold.ETF;09/11/2022;20221109;39362.00;39362;39280.00;39230.00;38973,54545;yes;no;no;-37.389.020
Mofid.Gold.ETF;12/11/2022;20221112;39219.00;39219;39362.00;39300.00;39139,90909;yes;no;no;-37.389.020
Mofid.Gold.ETF;13/11/2022;20221113;39440.00;39440;39219.00;39521.00;39308,36364;yes;no;no;-37.389.020
Mofid.Gold.ETF;14/11/2022;20221114;40148.00;40148;39440.00;40127.00;39537,72727;yes;no;no;-37.389.020
Mofid.Gold.ETF;15/11/2022;20221115;40700.00;40700;40148.00;40625.00;39771,27273;yes;no;no;-37.389.020
Mofid.Gold.ETF;16/11/2022;20221116;40445.00;40445;40700.00;40479.00;39913,63636;yes;no;no;-37.389.020
Mofid.Gold.ETF;19/11/2022;20221119;40290.00;40290;40445.00;40565.00;39943,72727;yes;no;no;-37.389.020
Mofid.Gold.ETF;20/11/2022;20221120;40868.00;40868;40290.00;40900.00;39966,90909;yes;no;no;-37.389.020
Mofid.Gold.ETF;21/11/2022;20221121;40937.00;40937;40868.00;41050.00;40082,72727;yes;no;no;-37.389.020
Mofid.Gold.ETF;22/11/2022;20221122;41237.00;41237;40937.00;41319.00;40175,09091;yes;no;no;-37.389.020
Mofid.Gold.ETF;23/11/2022;20221123;41205.00;41205;41237.00;41320.00;40350,09091;yes;no;no;-37.389.020
Mofid.Gold.ETF;26/11/2022;20221126;41804.00;41804;41205.00;42189.00;40572,09091;yes;no;no;-37.389.020
Mofid.Gold.ETF;27/11/2022;20221127;42370.00;42370;41804.00;42600.00;40858,54545;yes;no;no;-37.389.020
Mofid.Gold.ETF;28/11/2022;20221128;42745.00;42745;42370.00;42330.00;41159;yes;no;no;-37.389.020
Mofid.Gold.ETF;29/11/2022;20221129;42111.00;42111;42745.00;42151.00;41337,45455;yes;no;no;-37.389.020
Mofid.Gold.ETF;30/11/2022;20221130;42365.00;42365;42111.00;42365.00;41488,81818;yes;no;no;-37.389.020
Mofid.Gold.ETF;03/12/2022;20221203;42625.00;42625;42365.00;42670.00;41687;yes;no;no;-37.389.020
Mofid.Gold.ETF;04/12/2022;20221204;43370.00;43370;42625.00;43488.00;41967;yes;no;no;-37.389.020
Mofid.Gold.ETF;05/12/2022;20221205;44014.00;44014;43370.00;44059.00;42253;yes;no;no;-37.389.020
Mofid.Gold.ETF;06/12/2022;20221206;43524.00;43524;44014.00;43401.00;42488,18182;yes;no;no;-37.389.020
Mofid.Gold.ETF;07/12/2022;20221207;43101.00;43101;43524.00;43100.00;42657,63636;yes;no;no;-37.389.020
Mofid.Gold.ETF;10/12/2022;20221210;44323.00;44323;43101.00;44478.00;42941,09091;yes;no;no;-37.389.020
Mofid.Gold.ETF;11/12/2022;20221211;45044.00;45044;44323.00;45281.00;43235,63636;yes;no;no;-37.389.020
Mofid.Gold.ETF;12/12/2022;20221212;46426.00;46426;45044.00;46875.00;43604,36364;yes;no;no;-37.389.020
Mofid.Gold.ETF;13/12/2022;20221213;46809.00;46809;46426.00;46400.00;43973,81818;yes;no;no;-37.389.020
